Macrotrends Data Download,,,
,,,
U.S. GDP 1960-2022,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960/12/31,543.3,3007.1234,
1961/12/31,563.3,3066.5629,2.3
1962/12/31,605.1,3243.8431,6.1
1963/12/31,638.6,3374.5152,4.4
1964/12/31,685.8,3573.9412,5.8
1965/12/31,743.7,3827.5271,6.4
1966/12/31,815,4146.3166,6.5
1967/12/31,861.7,4336.4266,2.5
1968/12/31,942.5,4695.9234,4.8
1969/12/31,1019.9,5032.1447,3.1
1970/12/31,1073.303,5234.2967,-0.2835
1971/12/31,1164.85,5609.3826,3.2934
1972/12/31,1279.11,6094.018,5.2589
1973/12/31,1425.376,6726.359,5.6457
1974/12/31,1545.243,7225.6914,-0.5406
1975/12/31,1684.904,7801.4567,-0.2055
1976/12/31,1873.412,8592.2535,5.3881
1977/12/31,2081.826,9452.5765,4.6242
1978/12/31,2351.599,10564.9482,5.5353
1979/12/31,2627.333,11674.1819,3.1661
1980/12/31,2857.307,12574.7915,-0.2567
1981/12/31,3207.041,13976.1054,2.5377
1982/12/31,3343.789,14433.7877,-1.8029
1983/12/31,3634.038,15543.8937,4.5839
1984/12/31,4037.613,17121.2255,7.2366
1985/12/31,4338.979,18236.8277,4.1697
1986/12/31,4579.631,19071.2272,3.4626
1987/12/31,4855.215,20038.9411,3.4593
1988/12/31,5236.438,21417.0119,4.1771
1989/12/31,5641.58,22857.1544,3.6726
1990/12/31,5963.144,23888.6,1.886
1991/12/31,6158.129,24342.2589,-0.1083
1992/12/31,6520.327,25418.9908,3.5224
1993/12/31,6858.559,26387.2937,2.7518
1994/12/31,7287.236,27694.8534,4.0288
1995/12/31,7639.749,28690.8757,2.6842
1996/12/31,8073.122,29967.7127,3.7726
1997/12/31,8577.554457,31459.139,4.4472
1998/12/31,9062.818202,32853.677,4.4814
1999/12/31,9631.174489,34515.3902,4.7945
2000/12/31,10250.948,36329.9561,4.0772
2001/12/31,10581.92977,37133.6231,0.9543
2002/12/31,10929.11296,37997.7597,1.6959
2003/12/31,11456.44204,39490.275,2.7962
2004/12/31,12217.1932,41724.6316,3.8526
2005/12/31,13039.19919,44123.4071,3.4832
2006/12/31,13815.58695,46302.0009,2.7828
2007/12/31,14474.22691,48050.2238,2.0105
2008/12/31,14769.85791,48570.046,0.1222
2009/12/31,14478.06493,47194.9434,-2.5999
2010/12/31,15048.96444,48650.6431,2.7089
2011/12/31,15599.72812,50065.9665,1.5499
2012/12/31,16253.97223,51784.4186,2.2807
2013/12/31,16843.19099,53291.1277,1.8419
2014/12/31,17550.68017,55123.8498,2.2878
2015/12/31,18206.02074,56762.7295,2.7064
2016/12/31,18695.11084,57866.7449,1.6675
2017/12/31,19479.62006,59914.7778,2.2557
2018/12/31,20527.15603,62805.2538,2.9189
2019/12/31,21372.57244,65094.7994,2.2889
2020/12/31,20893.74383,63027.6795,-3.4046
2021/12/31,22996.1,69287.5366,5.6711
